Protein.Group,Genes,Kd_mean_8,Kd_mean_21,Kd_mean_60,Halflife_8,Halflife_21,Halflife_60,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
Q8CH77,NAV1,0.1778833870387573,0.1802227874062496,0.1662141915322184,3.8966380846398097,3.846057374517718,4.170204566591343,-0.0188496572368784,-0.1480996840782329,0.88226409876553,0.9679132803691356,-0.1167378712440152,0.8496562772025696,0.3955162136459796,0.7399531086731721
Q8CHC4,SYNJ1,0.0636104070902794,0.0697951013464304,0.0625368803881953,10.896757500328397,9.93117234860775,11.083814482866115,-0.1338629632638506,1.4496272759170747,0.1471624855686819,0.5134673326370255,-0.1584185295430268,1.669042252039778,0.0951090065332641,0.3826074646383824
Q8CHG3,GCC2,0.0625480702030369,0.0810678682934815,0.0783784167918564,11.081831594642711,8.550208549343091,8.84359762459458,-0.3741648338474088,1.0400006418644234,0.2983396024556963,0.6811372687065534,-0.0486737759688675,-0.4362374589132761,0.6626644525986323,0.884564447749897
Q8CHG7,RAPGEF2,0.0844577728094594,0.0970371044744268,0.0956843706870071,8.207026511623942,7.143114835445415,7.244100322583476,-0.2003062988916776,2.543800196940841,0.0109653787768676,0.1423118711562672,-0.0202532112855263,0.5666429485905298,0.5709567891681022,0.8377731388435897
Q8CHH5,BICRAL,0.1793193638846481,,,3.865434081094724,,,,,,,,,,
Q8CHH9,SEPTIN8,0.0317614734682787,0.0328551061092476,0.0268959993236509,21.82352091606253,21.09709152224732,25.771386004996923,-0.0488397583894298,0.4507383000976329,0.6521781748645867,0.8810115503680269,-0.2887260080694914,2.1760027431670528,0.0295550554400903,0.2023679055133644
Q8CHI8,EP400,0.241322870635005,0.2182870590753419,0.1361826154223157,2.8722813496127912,3.1753929137902075,5.08983601475436,0.144738044864821,-0.2596863151205879,0.7951057495422345,0.945175613724466,-0.6806840582672142,1.0789091585358652,0.2806282256693331,0.6317720617070249
Q8CHP5,PYM1,0.1019254271637158,0.0950615241690896,0.0801471894865839,6.800532505461962,7.291563927872834,8.648427786428782,0.1005805647012485,-1.2845489971717317,0.1989499312116684,0.587847524455058,-0.2462096028535428,1.244491964068902,0.2133185550964152,0.5613994501838002
Q8CHP6,PHC3,0.3273840659379844,0.4481226744329383,,2.1172294337967155,1.5467799781322489,,-0.4529096205358315,0.6972729847332172,0.4856319713319139,0.8091117847205177,,,,
Q8CHP8,PGP,0.0337985638935187,0.0400259438924972,0.0404067032190679,20.50818439338671,17.317447464115233,17.154262172837935,-0.2439734773393168,1.8168326603601357,0.0692427402229851,0.3666378187346549,0.0136592221035462,0.3083130986017598,0.7578440999603899,0.9277359685944004
