Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
P84075,HPCA,0.2811118860486254,-2.926177461467412,0.003431551292612383,0.07015615976007537,-0.4091229982630708,3.5827601045238913,0.0003399828104456339,0.012142899567673114
P84084,ARF5,0.0034663465973752265,-0.10261659565902104,0.9182672709435238,0.9809066929091923,-0.18232804562571403,0.6888335180365535,0.4909280401849344,0.7907125669890243
P84086,CPLX2,-0.002096012636473806,0.18454011845016383,0.8535897575836598,0.9584165699184952,0.04963532547775155,-0.8501348278745164,0.3952501303181175,0.7399531086731721
P84089,ERH,-0.030753207932333475,0.08875237761892926,0.9292787054177544,0.9833841823994496,0.03833075501073658,-0.11308225390463582,0.9099653440713937,0.9722424080726746
P84091,AP2M1,-0.4704296317055522,2.872757696104748,0.004069060701664985,0.07881128095856392,,,,
P84096,RHOG,-0.1627555801550155,1.0294049675555992,0.30328941578372925,0.6826330581554273,-0.1491650470001505,0.6793812376569285,0.49689633485723317,0.792943498421847
P84104,SRSF3,-0.07807165700632258,0.39735353369751014,0.6911067756132084,0.8990801358397196,-0.18993646164387115,1.0501769213982786,0.2936367781675717,0.6440514561799935
P84309,ADCY5,-0.18625153016405088,1.6471762321181467,0.09952182766127622,0.4311654087190744,-0.22424541882758825,1.9144596256312862,0.05556145320534697,0.29564688853323845
P97300,NPTN,0.020044192867637936,-0.1254873989080699,0.9001377003963187,0.9761168084081192,-0.02571602811966476,0.3068324963005281,0.7589708720837604,0.9277769375007046
P97315,CSRP1,0.0992884182242122,-2.0132039499990917,0.044093177872224526,0.2971597352769367,0.1705517818211107,-3.0315565424906934,0.00243296348642575,0.047987481303158636
P97333,NRP1,,,,,0.34086043196097354,-0.7894189142336752,0.42986720469265594,0.7549096491712223
P97351,RPS3A,0.011773934002056856,0.423748578322313,0.6717491831955207,0.8909676616303723,-0.15224258612091668,1.8619708919557072,0.06260719327294707,0.316852856460272
P97352,S100A13,0.10708966285257918,-0.9700059790711956,0.3320435118359454,0.697741683686669,-0.0749081462313632,0.5055606145063015,0.6131651364265386,0.8568174999689097
P97355,SMS,-0.41471901178154963,1.5024634545227646,0.1329774593041678,0.4976958251159091,-0.24387071103352662,0.9509023842689549,0.34165393136675637,0.6962153744042692
P97367,MEIS2,,,,,0.07082572415236706,-0.14394963283492898,0.8855402424558644,0.9653265347075591
P97370,ATP1B3,0.00941228944786321,-0.15258493950394872,0.8787256024484793,0.9668520627467458,0.11882916185948815,-0.7293883206445172,0.46576416002149434,0.7771557291267738
P97371,PSME1,-0.008421311212083322,1.208159984684707,0.2269857303014391,0.6108281444309293,-0.045793307586664764,1.1298745108772508,0.2585291057192862,0.6147417844930362
P97379,G3BP2,-0.12356606146698801,1.6738624022924025,0.09415764483761443,0.420780694386155,-0.16988957314021466,3.1248497343907475,0.0017789590943925362,0.03918157405399561
P97384,ANXA11,-0.1384783268790936,0.4135113342307445,0.6792320200407971,0.8931036476105881,-0.10078410413231233,0.35989263224771784,0.7189274269981266,0.9139611301375895
P97427,CRMP1,0.1917669954547703,-0.664786714028056,0.5061869216087542,0.821165285285318,,,,
P97434,MPRIP,-0.15246933117459394,0.7921535898550919,0.4282711258332418,0.7695666005076822,-0.44806679093480767,2.1012732496725888,0.035616986563876865,0.22520501312996782
P97445,CACNA1A,-0.4989390439849341,1.8848545507935757,0.05944947765672941,0.3418344965261941,,,,
P97447,FHL1,0.19789062752496794,-1.7037100148816067,0.08843527620699705,0.4106521343113554,0.09805404170146118,-0.8107849747360113,0.4174891645397335,0.7506284774683779
P97449,ANPEP,-0.27452000992761233,0.7791543113279759,0.43588882018520825,0.7769894369349204,,,,
P97461,RPS5,-0.16236986578682888,0.5846117784699645,0.5588087860431463,0.8393579073130618,-0.20287957172191218,0.7003691774164512,0.48369678003841343,0.7852644899517978
P97467,PAM,-0.29021138651575795,2.260265000039206,0.02380480883482914,0.21301324379859266,-0.25437749142735433,1.948950163997488,0.051301376524833235,0.2807236814806092
P97492,RGS14,-0.11339269845166468,0.2302706123671979,0.8178814949820684,0.9487167538326279,-0.4274863437835475,1.5897248122944418,0.11189684823464682,0.4170064941777241
P97493,TXN2,-0.08616602556125702,0.6930672771470802,0.48826733203773076,0.810753448947169,-0.01067327214289522,0.028592047076522555,0.977189955006462,0.9910641024873673
P97765,WBP2,0.1449337412882537,-1.0860109357495766,0.27747415404950904,0.6664576985133932,0.021243321369850323,-0.42953362524237815,0.6675349288824868,0.8864517552817145
P97772,GRM1,-0.39630504931312416,1.9042979519749446,0.0568713908144392,0.33688002929116495,0.5770254307958208,-1.2649545438751912,0.20588762309988817,0.5534165740353463
P97783,MLLT11,0.1424838789534476,-0.4962144937487561,0.6197430862179439,0.8666325720251864,-0.35855734742980827,1.132495053285338,0.2574263629046969,0.6147417844930362
P97785,GFRA1,-0.2069902985245176,0.859979463631709,0.38980036299924536,0.7508256181988624,0.51203860572082,-0.7006299464871263,0.4835339846613502,0.7852644899517978
P97792,CXADR,-0.5360930146844217,1.8470020625191312,0.0647468413660885,0.35695636887970894,-0.2444650799985142,0.7116544998207199,0.47667874965264234,0.7838592832654746
P97797,SIRPA,0.23823963566358938,-3.429218260137134,0.0006053225311029539,0.022275869144588702,0.16996042673654455,-2.111994133537422,0.034686952477478626,0.2240767890951828
P97798,NEO1,0.7418414909250622,-2.018393460019097,0.043550299969067764,0.2971597352769367,-0.5495100834679396,1.8433783868329194,0.0652737834543317,0.3224646909715863
P97807,FH,-0.07009245458087651,0.2475834117703182,0.8044567466934378,0.9456232407597336,,,,
P97822,ANP32E,0.1538533665395437,-1.1795523299607162,0.23817831206121598,0.6266281954497049,0.04156052481065702,-1.0610622954275382,0.28866159151020543,0.6389720153781181
P97825,JPT1,-0.31621504746198104,3.3089326265754275,0.0009365237055755441,0.030309661558842408,-0.14269292885757828,1.3223497723970776,0.18605170603003507,0.5281790107812918
P97855,G3BP1,-0.2825877177279655,2.283183378352184,0.022419568790363796,0.21078157930643124,-0.3433981756933068,,,
P97927,LAMA4,-0.12001658032970587,0.31701440054837327,0.7512326753482543,0.9258324020264703,,,,
P97952,SCN1B,-0.19038959908833902,0.9483379107899934,0.3429574569676743,0.7092977317402149,-0.2598236099587496,1.2521679857955041,0.21050865883922298,0.556931316628695
P98078,DAB2,0.06168027120998762,-0.6511581328503049,0.5149444134851766,0.823717023514477,-0.04046570645357415,0.35422578436593427,0.7231696816048847,0.9158301238532393
P98086,C1QA,-1.0373609009309188,2.093001921703406,0.03634898300992375,0.2681990124842494,-0.31559372997378116,0.5639947879127146,0.5727576792854421,0.8382051751669011
P98203,ARVCF,,,,,-0.06311638591606594,0.16248364088678605,0.8709250097733874,0.9581193291565057
P99026,PSMB4,0.1276052429473425,-0.4206976502730808,0.6739758771911818,0.8909676616303723,,,,
P99027,RPLP2,0.022541170342249457,-0.29578886151403944,0.767391329813159,0.9316288968948206,-0.07848249607386809,0.7934356890838512,0.42752402438180537,0.7542775802754907
P99028,UQCRH,,,,,-0.027562185744905533,0.14127505824029746,0.8876526526178374,0.9654592431559441
P99029,PRDX5,-0.06655196939978297,0.5200791413084496,0.6030084159221044,0.8626445102268352,-0.06602863159848098,0.45017226192758364,0.6525862352515834,0.8806852644942352
Q00493,CPE,0.27166422182162675,-1.235644897034569,0.2165905882148904,0.5984006898395517,0.26003416517435546,-1.7157018078367878,0.08621663372610637,0.3660411248430184
Q00623,APOA1,2.341905036063424,-6.925500772231043,4.344359643035916e-12,6.394897394548868e-09,0.9258547648697514,-3.2236471131859425,0.0012656926727713574,0.032477919748880556
Q00897,SERPINA1D,0.7269454093335604,-1.2565155211511578,0.20892912213118264,0.5971721704409726,-0.0041421953671951645,0.009858277694750832,0.9921343598360018,0.9964990922259541
Q00898,SERPINA1E,0.13783135251578588,-0.027083802439197977,0.9783928938034648,0.9956407464076739,,,,
Q00915,RBP1,-0.5112519125370332,1.3601839678259882,0.1737717146352673,0.5483214661159989,,,,
Q00PI9,HNRNPUL2,-0.04418616761113666,0.3535871741233367,0.7236482877684727,0.9179001666176545,-0.17058267662222634,1.6302290951135388,0.10305308684519994,0.3982007434676366
Q01097,GRIN2B,0.2321768344820485,-1.6840117159259598,0.09217940454108277,0.42037513482605227,0.07060818204561083,-0.5229443837395689,0.6010129569125101,0.8500662810137151
Q01147,CREB1,0.13465493279336557,-0.8863867595764564,0.3754091515376391,0.7383897316582744,-0.25281827607089147,1.592069571436818,0.11136907325128982,0.4169241651602819
Q01149,COL1A2,0.13987577184344444,-0.2878597163875574,0.7734541239370879,0.9347836584507725,-0.30623866913650716,0.8092876815792246,0.41834969015537693,0.7506437413989554
Q01279,EGFR,-0.03476247893103562,0.1782556050289364,0.8585222424153989,0.9599679494962203,-0.049530142742438395,0.1771887337148914,0.8593601448400335,0.9536292310060637
Q01339,APOH,-0.15496382807692582,,,,,,,
Q01405,SEC23A,-0.34998889867322464,2.5306020275904735,0.01138669630900842,0.14400248778125702,,,,
Q01768,NME2,-0.024391254974205537,0.22579467060545994,0.8213611222890407,0.9508797263149571,-0.2304603359404048,1.8029762290117881,0.07139194797299005,0.33514905593714506
Q01853,VCP,-0.12289322436597706,2.408573303140388,0.01601500980840741,0.1759260778953411,-0.06584936211202001,1.4506269810744843,0.146883758029724,0.4669773461157239
Q02053,UBA1,-0.22684701922461756,2.5623871229552564,0.010395537323138028,0.13974640127542629,-0.20678787671921212,1.8152595567966126,0.06948403103362273,0.3332866226285188
Q02105,C1QC,-0.11868318363706008,0.9211261121926252,0.3569845887056501,0.7185961720887554,-0.3042439365874375,1.975110547598998,0.04825560412602896,0.26912312260863464
Q02248,CTNNB1,-0.46201228535279304,2.270814734599488,0.023158195592444215,0.21200247042772002,-0.46121359636992004,2.3460097309170025,0.018975612051915343,0.16304514022912772
Q02357,ANK1,-0.5708426956403885,3.4624132022795595,0.0005353545602288677,0.02101445100418382,-0.3254186138856383,1.4251007784950804,0.15412807166456183,0.4775621259196212
Q02526,ZFP41,-0.1514922299938802,0.28035161481553134,0.7792077548616123,0.9374694034787848,,,,
Q02614,SAP30BP,-0.3991652076475826,0.9356611527085796,0.3494476779430753,0.7123622340731983,,,,
Q02819,NUCB1,-0.2486557187097325,4.88475384434832,1.035581475703118e-06,0.0002032501242979986,-0.014859702916542499,0.7729227723617108,0.43956808672299963,0.7603478886414898
Q03137,EPHA4,-0.5576096312819614,0.725545226217621,0.46811760990418494,0.7979955087191202,,,,
Q03141,MARK3,-0.06009221499646622,0.03610209311947074,0.9712009533494754,0.9927831967572416,-0.10370538690095969,0.23928807878119848,0.8108822086961467,0.9425839414226025
Q03157,APLP1,1.1507221260392697,-3.74974984483262,0.00017701106043175438,0.010218050233550683,-0.4619736393330693,2.4146008795507687,0.01575246019309771,0.1445616398970738
Q03173,ENAH,-0.14803640168444326,1.2304021504305513,0.21854654848642752,0.5990698684767621,-0.12957515833457928,1.0971241580353412,0.27258712103179594,0.6270215499452017
Q03265,ATP5F1A,0.015689906125260413,-0.13066053540551886,0.896043852813065,0.9741333466328151,-0.17225623788979866,0.6640809503789961,0.5066385017620663,0.7992434839145087
Q03517,SCG2,-0.0927736679183039,1.9175909464690195,0.05516289901385782,0.3341749930328889,-0.11384544105995376,2.431767375676291,0.015025353902971227,0.13983102241391884
Q03958,PFDN6,-0.13097327263118747,1.6139194157275831,0.10654490666809549,0.4449194400437917,-0.22386768033729776,2.279099259271483,0.022661165548433813,0.17764843079884138
Q04447,CKB,-0.010100227403816636,0.3989715820183042,0.6899141437353877,0.8987235265552489,-0.04214919084497005,0.6956666701457224,0.4866376030916778,0.7881024417716327
Q04519,SMPD1,,,,,0.3605006517318703,-0.698232839156871,0.4850315925882379,0.7869481272011742
Q04735,CDK16,-1.088583020144705,1.9079021607753561,0.05640386296733523,0.33678472469500587,,,,
Q04750,TOP1,-0.5735451756068387,1.9664843292292773,0.04924269075916498,0.31652943579690324,0.6346502838778403,-1.273549358214922,0.20282316942236145,0.5503712903319316
Q04758,PKIB,0.10942210193661775,-0.8947961388127402,0.3708960747662544,0.734309377344891,0.018827671182341476,-0.1480624809279927,0.8822934589088549,0.9642749832474953
Q05186,RCN1,-0.22709176694168226,1.8986104036427958,0.05761571951470055,0.33742430979529353,-0.1274004031722022,1.3130254804429105,0.18917436229642615,0.5324684127257234
Q05512,MARK2,-0.23364423828944583,2.235833300198811,0.02536269274878924,0.22156607552651492,-0.337485041798615,3.1784337443572563,0.0014807305575460033,0.03494259699637577
