Protein.Group,Genes,Kd_mean_8,Kd_mean_21,Kd_mean_60,Halflife_8,Halflife_21,Halflife_60,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
O08638,MYH11,0.0637830536731238,,0.0860753350558011,10.867262394055242,,8.052796775180603,,,,,,,,
O08648,MAP3K4,,,0.0274912148034852,,,25.21340673792522,,,,,,,,
O08663,METAP2,0.1994443586592737,0.1767699367681056,0.1480657392235735,3.475391258090696,3.921182488565607,4.681347516276671,0.174113380259833,-1.5099058230194913,0.1310674566406507,0.411989442121708,-0.255635081153664,1.6515811707221553,0.0986199610857415,0.4472874432100843
O08677,KNG1,0.4696632091016788,0.4963760767599687,0.3675011673348098,1.475838786448107,1.3964153653100582,1.886108785957835,-0.0798070002827177,0.4927116856264637,0.6222163195973234,0.8603940799179606,-0.4336847527592959,4.792134910796855,1.6501587404266483e-06,0.0001329202865413
O08692,NGP,,,0.2977143396845888,,,2.3282290711770712,,,,,,,,
O08709,PRDX6,0.0642451950987309,0.0602460603007977,0.0656599463632051,10.789089822121772,11.505269840039102,10.556621181591078,0.0927216575229289,-1.5911288421852987,0.1115805827820791,0.3755219524406757,0.1241466698057726,-1.7122068699338362,0.0868585518628643,0.4279178197280562
O08715,AKAP1,0.1785677868494457,0.1669636573412105,0.1836684545447172,3.8817033732089214,4.151485368719581,3.773904355422051,0.0969377373981074,-0.2612497500520733,0.7938999148301525,0.9336463351693404,0.1375697535132847,-0.604937338733736,0.5452206324247049,0.8613843340847609
O08749,DLD,0.0302593742253016,,0.0211783452757577,22.90685773601904,,32.72905279117215,,,,,,,,
O08756,HSD17B10,0.0303372260614148,,,22.848073820484903,,,,,,,,,,
O08759,UBE3A,0.1506834767432073,,0.1967818408860638,4.60002115388668,,3.5224143520502773,,,,,,,,
O08784,TCOF1,0.1318229309249695,0.1438460069820447,0.1346028367260769,5.258168481737581,4.818675158959858,5.149573347926777,-0.1259238213472836,0.4072470299640328,0.6838265629836058,0.8938023464579479,-0.0958163591360976,0.3508078563852617,0.7257325027989294,0.9341283572498384
O08788,DCTN1,0.098913586801022,0.0914169457093247,0.0869239274478338,7.007603333142735,7.582261419714475,7.9741815736055806,0.113707085126509,-0.384413433738031,0.7006720453358604,0.9013476138758066,-0.0727082578238514,0.1771282731934077,0.8594076342479108,0.9712083494440064
O08795,PRKCSH,0.1537053527976982,0.2694082690424629,0.1341383506173904,4.509583875535175,2.572850428917958,5.167404976799245,-0.8096267247837141,1.7437518762882702,0.0812023652431361,0.3120415655177007,-1.00607236491606,2.010657271608804,0.0443616701832168,0.3041134070857972
O08807,PRDX4,0.1131878202688707,0.0699890117558164,0.1263849465365756,6.123867205088113,9.903657205194657,5.484412499706597,0.6935183808775707,-2.3847792609943324,0.0170893719961642,0.121472281164505,0.8526242947079338,-1.8276659419571877,0.0675997025598956,0.3713587361933846
O08808,DIAPH1,0.3162613855441298,,,2.191690836259953,,,,,,,,,,
O08915,AIP,0.2862430897887244,0.2874078971470095,,2.4215333235522163,2.4117193279675253,,-0.0058588380293128,,,,,,,
O08917,FLOT1,0.0935315224371239,0.0665618955149677,0.0732602091227255,7.410840350919227,10.413573339480353,9.461441468161585,0.4907561524944877,-2.8868776439183748,0.003890855065616,0.0447688508784468,0.1383333008726358,-0.7783250178937333,0.4363774303476233,0.8061972939105748
O08997,ATOX1,0.0864405289806726,0.0734913865338408,0.0743530223820741,8.018775321411175,9.431679183801617,9.322380696215744,0.2341327303408388,-2.835207310168021,0.004579595725541,0.0493431585688357,0.0168162171110792,-0.0901316597339089,0.9281825907700246,0.9956508621728882
O09044,SNAP23,0.2829619805243353,,0.2651634588123551,2.449612415334127,,2.6140373325362907,,,,,,,,
O09061,PSMB1,0.085519755286874,0.063797378213785,0.0955540156664931,8.105111833339546,10.864822347984404,7.253982741857738,0.4227605879099879,-0.959971435689594,0.3370695912249263,0.657903369678809,0.5828193669611312,-1.5866008646451306,0.1126030714939678,0.4761247983642576
O09111,NDUFB11,,0.0208960283690043,,,33.17124040605291,,,,,,,,,
O09114,PTGDS,0.7975065800840235,0.8903979351155833,0.7359006560883249,0.8691428984660124,0.7784689892277965,0.9419031968857924,-0.1589538246452106,0.8235063562247998,0.4102201040859591,0.7201614285293403,-0.2749392261459845,1.3144161537250765,0.1887061972964943,0.5975840275757307
