Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
O54724,CAVIN1,0.19749332020912455,-2.2189231802407283,0.026491951208554815,0.16297358763282566,0.06073044615026222,-0.5688344966664182,0.5694684615863266,0.8695864375503053
O54734,DDOST,0.01080891102983576,-0.15580471761105846,0.8761869519261151,0.9597426707577409,-0.40785044566440287,2.4301781448879503,0.01509140312686679,0.16264448654710087
O54786,DFFA,-0.3667573542735333,0.6306122551155567,0.5282940838247066,0.8017355429064931,-0.31985602888516856,0.7562199865988664,0.44951731152458263,0.8116244732665618
O54824,IL16,,,,,0.4282694969900764,,,
O54879,HMGB3,-0.0062510976442933805,-0.22999504990108344,0.8180956162280364,0.9402739167440932,-0.0184315045583049,0.19820184939801813,0.8428871405804391,0.9669454063369949
O54946,DNAJB6,0.005016782759021931,-0.010562397995414825,0.9915725824144505,0.9972951005376688,-0.24188779807894772,0.5635300501322146,0.5730740035820042,0.8722359696857073
O54962,BANF1,0.13567940154291153,-1.65138633115623,0.09865971410686679,0.34698435300981073,-0.0368791676269987,0.4967864566430818,0.6193396467756602,0.8837521443362167
O54984,GET3,0.03775511269860886,-0.07341034127434162,0.9414795886538346,0.9842953473292678,-0.7703028958077266,2.199684433280251,0.02782929200203773,0.225754686680154
O54988,SLK,0.03692364614628262,-0.13030047888557278,0.8963287012047277,0.9712469157259978,-0.017381467094520132,-0.09320855945833958,0.925737874530431,0.9956508621728882
O54998,FKBP7,-0.26602805795702605,1.529034617084315,0.126255862416924,0.4044291040579168,0.12856191644450152,-0.6506027211390284,0.5153029733509404,0.8428449655207498
O55028,BCKDK,0.028546804092159036,-0.12120104934615182,0.9035317929878711,0.9723921836774779,0.00268931006858886,-0.008025427717077158,0.9935967038674839,0.9998028044537892
O55029,COPB2,1.0473776651355315,-2.192687004880647,0.02832993765937178,0.16837712190989362,1.1806804439841159,-1.376042213609125,0.16880856438192393,0.5628856472949579
O55042,SNCA,-0.7151322680644764,3.4973634930690434,0.00046988111768507594,0.008881173288740473,-1.0846834583761928,0.7500882402608555,0.45320156162120284,0.8116244732665618
O55111,DSG2,-0.014284521300143646,0.3284498742823591,0.7425715383686042,0.9178735726253835,0.05103353558227294,-0.2687593126111181,0.7881149054731039,0.9553447048285707
O55131,SEPTIN7,0.09803388474436513,-0.7748504760519812,0.43842801881569216,0.7410960564130858,-0.076148179821558,0.5401211674118511,0.5891134737556811,0.8775827076926043
