,Protein.Group,Genes,Oxygen,Kd,Kd_pvalue,Half_life
5021,Q9CWZ7,NAPG,60,0.13845933029974203,3.728033281777735e-19,5.006142807851186
5022,Q9CX34,SUGT1,8,0.20883867682694757,2.3503702814681196e-17,3.3190556035475933
5023,Q9CX34,SUGT1,21,0.20691830896694027,6.300379952973748e-16,3.349859101500248
5024,Q9CX34,SUGT1,60,0.1886018223866898,6.223333324158953e-23,3.67518813863202
5025,Q9CX56,PSMD8,8,0.0894266166321305,1.2142636797876141e-11,7.7510164944661595
5026,Q9CX56,PSMD8,21,0.12847155777642744,1.2772689537185515e-23,5.3953356879675605
5027,Q9CX60,LBH,8,0.8114859274726878,2.6611291943933034e-55,0.8541703030127711
5028,Q9CX60,LBH,21,0.6793121228287927,5.20474071163638e-73,1.020366275333849
5029,Q9CX60,LBH,60,0.5967969722385931,1.2363828996855145e-26,1.1614455381030862
5030,Q9CX80,CYGB,8,0.2839413527582067,2.8390789139627594e-06,2.4411631973529486
5031,Q9CX80,CYGB,21,0.12734311565945658,2.349250424581979e-28,5.443146077983304
5032,Q9CX80,CYGB,60,0.15851355901448128,0.0005024908659335653,4.372794257282568
5033,Q9CX86,HNRNPA0,8,0.15293269442911517,1.880374017537896e-23,4.532367543430822
5034,Q9CX86,HNRNPA0,21,0.13012441657976137,1.4232873398418156e-27,5.326803368490587
5035,Q9CX86,HNRNPA0,60,0.16227473345371904,1.3718482003782213e-31,4.271442422412801
5037,Q9CX98,CYP2U1,21,0.09206738710724596,2.66122133469007e-67,7.5286939527514045
5038,Q9CX98,CYP2U1,60,0.08612259765659326,1.3691781741898193e-23,8.048377538771094
5039,Q9CXD6,MCUR1,8,0.03333531788270688,0.001361533322359267,20.79317746417904
5040,Q9CXE7,TMED5,8,0.09184419505055769,6.135158461540217e-05,7.5469895531055275
5041,Q9CXI0,COQ5,8,0.0443348742925471,2.37787329447081e-06,15.634355383217283
5042,Q9CXI0,COQ5,21,0.05337331627094039,1.010400921896753e-86,12.986773709943442
5043,Q9CXI0,COQ5,60,0.041874503527095666,1.904918971727582e-21,16.55296474408184
5044,Q9CXI5,MANF,8,0.10520291604207098,7.536409828341934e-51,6.588668894717268
5045,Q9CXI5,MANF,21,0.1273198497433961,1.4154052696121563e-42,5.444140736553908
5046,Q9CXI5,MANF,60,0.10756045539707897,2.5924676312641327e-37,6.44425665548799
5047,Q9CXJ4,ABCB8,8,0.022548421592666613,1.5820537250515764e-22,30.740385871859715
5048,Q9CXJ4,ABCB8,21,0.0194564682644703,1.020914986054696e-35,35.62553959629508
5049,Q9CXJ4,ABCB8,60,0.017659519919633125,1.6330530904037262e-12,39.250624236354966
5050,Q9CXK9,RBM33,8,0.36068284012775215,1.5543893600631304e-08,1.9217636755727991
5051,Q9CXP8,GNG10,21,0.0902901576709912,0.031907032883325435,7.676885260137745
5052,Q9CXS4,CENPV,8,0.030118852519492412,6.033760198996564e-06,23.013731353521923
5053,Q9CXS4,CENPV,21,0.026785042946582124,8.174298525950372e-14,25.878143333288683
5054,Q9CXT8,PMPCB,8,0.15262967281316112,1.1447210595961032e-22,4.541365828703892
5055,Q9CXT8,PMPCB,21,0.18913017296006354,1.3594542748197763e-12,3.664921200628888
