,Protein.Group,Genes,Oxygen,Kd,Kd_pvalue,Half_life
1922,P26952,IL3RA_MOUSE,8,0.22765902448493522,1.5244832827390293e-13,3.0446725409991933
1923,P26952,IL3RA_MOUSE,21,0.17384502811611818,0.004564612116743554,3.9871556182611334
1924,P26952,IL3RA_MOUSE,60,0.14257968581783834,1.625840915277252e-05,4.861472211725302
1925,P27005,S100A8_MOUSE,8,0.6079701027651437,3.9745502159389495e-28,1.1401007671387176
1926,P27005,S100A8_MOUSE,21,0.5601201590915665,1.4129185704523774e-27,1.2374972928739598
1927,P27005,S100A8_MOUSE,60,0.5416152562552266,2.152568417217556e-32,1.2797777990088817
1928,P27046,MAN2A1_MOUSE,8,0.509108674301136,3.2205484905088634e-75,1.3614915941305512
1929,P27046,MAN2A1_MOUSE,21,0.3561596513038171,7.201927690187769e-23,1.946169865178427
1930,P27046,MAN2A1_MOUSE,60,0.2783859902469493,3.6784394738945683e-35,2.4898781003493444
1931,P27048,SNRPB_MOUSE,8,0.16847216506261745,7.01802910904797e-18,4.114312772690477
1932,P27048,SNRPB_MOUSE,21,0.1192033811715298,2.7307850008152765e-13,5.814828184802317
1933,P27048,SNRPB_MOUSE,60,0.17249163160883252,7.320114313427544e-14,4.0184394691785865
1934,P27512,CD40_MOUSE,8,0.24649930708666218,1.6156737628362338e-18,2.81196401220006
1935,P27546,MAP4_MOUSE,8,0.20698383858902109,5.061811067747109e-91,3.348798559757271
1936,P27546,MAP4_MOUSE,21,0.16974978022812606,1.390784029954497e-86,4.083346556492901
1937,P27546,MAP4_MOUSE,60,0.2371823830673721,4.524951929694298e-76,2.922422701027738
1938,P27601,GNA13_MOUSE,8,0.09282581071270524,1.2596844971952886e-55,7.46718154399133
1939,P27601,GNA13_MOUSE,21,0.07702120315772024,6.908565911074671e-31,8.999433300730873
1940,P27601,GNA13_MOUSE,60,0.10555596594631429,0.05122476492554359,6.56663196955139
1941,P27612,PLAA_MOUSE,8,0.4521163865802768,2.1200592410487427e-14,1.5331166954659174
1942,P27612,PLAA_MOUSE,21,0.8564940957898801,1.906562266403178e-18,0.8092842483878511
1943,P27641,XRCC5_MOUSE,8,0.24378460192059814,3.498205533079117e-30,2.843277118813709
1944,P27641,XRCC5_MOUSE,21,0.19213220172175732,3.037684519232642e-11,3.607657510549687
1945,P27641,XRCC5_MOUSE,60,0.10354319169039088,8.030838830458108e-07,6.694280611250188
1946,P27659,RPL3_MOUSE,8,0.18543928865366166,2.118402263880035e-27,3.737865829794632
1947,P27659,RPL3_MOUSE,21,0.11596822404276975,2.057148979326519e-28,5.977044024614092
1948,P27659,RPL3_MOUSE,60,0.16185838915166664,1.0541912580706334e-32,4.282429747341941
1949,P27661,H2AX_MOUSE,8,0.042791153980676844,7.17763094629905e-09,16.19837550707207
1950,P27661,H2AX_MOUSE,21,0.04272323939572703,1.7870139600974488e-05,16.22412509827779
1951,P27661,H2AX_MOUSE,60,0.059938233778052026,1.059178007118712e-06,11.564357787495558
1952,P27773,PDIA3_MOUSE,8,0.25828950753182295,3.57842543995543e-116,2.683605645399843
1953,P27773,PDIA3_MOUSE,21,0.21251754643340892,4.639863597296743e-133,3.2615997699612946
1954,P27773,PDIA3_MOUSE,60,0.26676685240302345,8.528809437969631e-99,2.5983257451820103
1955,P27784,CCL6_MOUSE,8,1.2815393644653428,7.046903311717353e-20,0.5408707682179749
1956,P27784,CCL6_MOUSE,60,0.5508110727797686,1.3624706524340056e-10,1.2584118490244787
1957,P27870,VAV1_MOUSE,8,0.234476548450747,2.0482417935684454e-05,2.956147150492299
1958,P27870,VAV1_MOUSE,21,0.204900795000014,3.8802564900547165e-15,3.3828428072223824
1959,P27870,VAV1_MOUSE,60,0.2213192530380096,9.517833999346552e-06,3.13188830635039
1960,P28033,CEBPB_MOUSE,8,1.2207864038535863,2.5501084826063294e-14,0.5677874346994096
1961,P28033,CEBPB_MOUSE,21,1.04414164272079,1.6481303541024384e-53,0.6638440152178637
1962,P28033,CEBPB_MOUSE,60,0.8877105735587243,4.485582983815077e-08,0.7808256443101743
1963,P28063,PSMB8_MOUSE,8,0.11655407787753622,1.305521795777563e-32,5.947000681419636
1964,P28063,PSMB8_MOUSE,21,0.09319469147147567,6.783357915114651e-42,7.437625143832345
1965,P28063,PSMB8_MOUSE,60,0.080578439316287,5.4270470440738745e-17,8.60214204247863
1966,P28076,PSMB9_MOUSE,8,0.08937830381414835,4.368741525515606e-07,7.755206252305516
1967,P28076,PSMB9_MOUSE,60,0.06252725715570255,0.0033685974042723943,11.085520332899003
1968,P28271,ACO1_MOUSE,8,0.13277409537199392,1.5154157753565557e-38,5.2205001180234065
1969,P28271,ACO1_MOUSE,21,0.16621764596439406,2.537503341979935e-10,4.170117898964989
1970,P28271,ACO1_MOUSE,60,0.3611226480549478,0.0035127767610273106,1.9194231773978274
1971,P28352,APEX1_MOUSE,8,0.06514090542867498,2.2501974588590715e-47,10.640736047473212
1972,P28352,APEX1_MOUSE,21,0.050311872145969376,2.9630247702549164e-31,13.777010295878549
1973,P28352,APEX1_MOUSE,60,0.11548244438896582,7.942738106803759e-19,6.002186602712529
1974,P28474,ADH5_MOUSE,8,0.10022225376786421,1.5686099317606913e-61,6.916100511623094
1975,P28474,ADH5_MOUSE,21,0.08237992653535832,8.612749902062644e-55,8.41403008853667
1976,P28474,ADH5_MOUSE,60,0.10620764356707435,4.294171876751072e-58,6.526339887413049
1977,P28574,MAX_MOUSE,8,0.3244272684277381,0.0012536007819559615,2.1365256500143257
1978,P28650,ADSS1_MOUSE,8,0.10679932871985831,4.550390857121988e-26,6.49018293343506
1979,P28650,ADSS1_MOUSE,21,0.11152674016463957,2.1924713384214117e-29,6.215076129156988
1980,P28650,ADSS1_MOUSE,60,0.10106249953285149,5.083096393436679e-26,6.858599220917053
1981,P28653,BGN_MOUSE,8,0.12051924778796533,7.682725750319984e-43,5.751340082867334
1982,P28653,BGN_MOUSE,21,0.10157769260939449,3.112034994501348e-45,6.82381301202976
1983,P28653,BGN_MOUSE,60,0.11832168206387325,3.565157119615366e-41,5.858158610234814
1984,P28654,DCN_MOUSE,8,0.2036016218698099,4.4809185451517255e-37,3.404428580648381
1985,P28654,DCN_MOUSE,21,0.1380943933879835,1.2747926946820773e-48,5.019372355056528
1986,P28654,DCN_MOUSE,60,0.22050072815913244,2.2935854300291957e-56,3.1435142475344127
1987,P28656,NAP1L1_MOUSE,8,0.15946142847725106,7.852202022418452e-93,4.346801525478812
1988,P28656,NAP1L1_MOUSE,21,0.1545715488908068,4.597708904141039e-76,4.484312834631694
1989,P28656,NAP1L1_MOUSE,60,0.18027358031148338,9.471890154355612e-53,3.844973730273176
1991,P28658,ATXN10_MOUSE,21,0.5946218325356853,2.7667664287905985e-16,1.165694131350865
1992,P28658,ATXN10_MOUSE,60,0.4659278104484092,3.460094174902781e-15,1.4876707614702374
1993,P28659,CELF1_MOUSE,8,0.26129301713308456,0.03592308814656178,2.6527581493190233
1994,P28659,CELF1_MOUSE,21,0.3264068235208618,1.5532785580981308e-31,2.1235682915055354
1995,P28660,NCKAP1_MOUSE,8,0.11006308684052385,3.242036973475188e-28,6.297726153767452
1996,P28660,NCKAP1_MOUSE,21,0.08407756824507888,2.5747299567733144e-29,8.244139251738119
1997,P28660,NCKAP1_MOUSE,60,0.09117425197143715,6.507363378402117e-12,7.602444391615001
1998,P28661,SEPTIN4_MOUSE,8,0.1292728584598571,5.536844400974358e-36,5.361892579912181
1999,P28661,SEPTIN4_MOUSE,21,0.13217054209005005,5.838270295473053e-42,5.244339393627456
2000,P28661,SEPTIN4_MOUSE,60,0.1432601537436232,3.088408052786027e-18,4.838380822907631
2001,P28665,MUG1_MOUSE,8,0.3068839442782935,4.404297088486278e-78,2.2586622515884187
2002,P28665,MUG1_MOUSE,21,0.17226417340350536,1.0633041763524077e-31,4.023745430434583
2003,P28665,MUG1_MOUSE,60,0.23913539654597507,3.7984097883633577e-91,2.8985553396595725
2004,P28667,MARCKSL1_MOUSE,21,0.7726177338729948,2.728612366533094e-06,0.8971411736633615
2005,P28740,KIF2A_MOUSE,8,0.2291592751508623,0.0002618995636320718,3.0247398020596203
2006,P28740,KIF2A_MOUSE,21,0.2376689023951746,1.8333825874021118e-16,2.9164403654603586
2007,P28740,KIF2A_MOUSE,60,0.5878543871875249,1.8250797894783586e-09,1.1791137323584047
2008,P28798,GRN_MOUSE,8,0.42779174834756667,2.5955095480989088e-39,1.620291142214333
2009,P28798,GRN_MOUSE,21,0.4010915315820263,3.0602725643546437e-12,1.7281521198564407
2010,P28798,GRN_MOUSE,60,0.3246890477692611,1.4954286202475877e-24,2.134803084126593
2011,P28828,PTPRM_MOUSE,8,0.3454908260103305,2.0692456252671557e-11,2.0062679769656735
2012,P28828,PTPRM_MOUSE,21,0.5950387902830445,3.464376883317466e-25,1.1648773019154486
2013,P28828,PTPRM_MOUSE,60,0.2602877969409244,2.3693561646899077e-07,2.6630029863338684
2014,P28843,DPP4_MOUSE,8,0.11503023739718823,3.986249589574582e-49,6.025782405078201
2015,P28843,DPP4_MOUSE,21,0.05606914138861995,1.0111980288118083e-40,12.362364812324905
2016,P28843,DPP4_MOUSE,60,0.11617670258864361,1.6806823459581167e-40,5.966318247249867
2017,P28867,PRKCD_MOUSE,8,0.22056217240640344,2.1191752135594775e-36,3.1426385268039807
2018,P28867,PRKCD_MOUSE,21,0.15764558616483706,2.3923667010863845e-14,4.3968702037441005
2019,P28867,PRKCD_MOUSE,60,0.12913016481263925,1.1914294649755274e-19,5.367817671151149
2020,P29268,CCN2_MOUSE,8,0.028776938791122572,0.00010558545425986791,24.086897692320733
2021,P29268,CCN2_MOUSE,60,0.7252618006128188,2.5129290376826816e-19,0.9557199620526852
2022,P29341,PABPC1_MOUSE,8,0.16713788450129508,1.6148061633770525e-154,4.147157795063359
2023,P29341,PABPC1_MOUSE,21,0.13489839033536505,5.21159932609319e-88,5.138290967273531
2024,P29341,PABPC1_MOUSE,60,0.15967016820883576,2.5611618193280756e-96,4.341118872332898
2025,P29351,PTPN6_MOUSE,8,0.26233760695310404,2.167916699928715e-53,2.6421952559926094
2026,P29351,PTPN6_MOUSE,21,0.20996077317827494,6.753125180750126e-67,3.30131752740024
2027,P29351,PTPN6_MOUSE,60,0.21299839504563897,2.7404137897005677e-34,3.2542366359681973
2029,P29387,GNB4_MOUSE,60,0.7958452585031492,2.7867406392317255e-12,0.8709572283733125
2030,P29416,HEXA_MOUSE,8,0.3765235516944224,2.9720997205201e-55,1.8409132109815194
2031,P29416,HEXA_MOUSE,21,0.25207868474174266,4.9595406110935466e-11,2.7497254727034224
2032,P29416,HEXA_MOUSE,60,0.2576235898398044,1.2782645762539032e-29,2.6905423567420916
2033,P29533,VCAM1_MOUSE,8,0.3500388098493607,2.885788188092555e-06,1.980200940742089
2034,P29533,VCAM1_MOUSE,21,0.4341334760852834,8.873118472151294e-08,1.5966222803416796
2035,P29533,VCAM1_MOUSE,60,0.38174008975479246,7.301669704559043e-10,1.8157568438913045
2036,P29595,NEDD8_MOUSE,8,0.28671058924913523,2.915404634161009e-15,2.417584862753847
2037,P29595,NEDD8_MOUSE,21,0.25761574049178226,1.1521787968692228e-06,2.690624335441398
2038,P29595,NEDD8_MOUSE,60,0.42369085847323845,9.059650227675032e-12,1.635973886851577
2039,P29699,AHSG_MOUSE,8,0.9218043649381272,7.270569958622821e-175,0.7519460819720356
2040,P29699,AHSG_MOUSE,21,0.6725629346022715,1.691161112653583e-29,1.0306056800020456
2041,P29699,AHSG_MOUSE,60,0.5155739397236466,1.1052889342894447e-62,1.3444185734668435
2042,P29758,OAT_MOUSE,8,0.1689999665085226,1.1678056504305764e-85,4.101463419668726
2043,P29758,OAT_MOUSE,21,0.11334474391852244,5.086531181557093e-23,6.115388827012678
2044,P29758,OAT_MOUSE,60,0.11725157986817202,9.771298335485697e-23,5.911623377179759
2045,P29788,VTN_MOUSE,8,1.3261380231821345,1.206473295116057e-16,0.5226810244809239
2046,P29788,VTN_MOUSE,21,0.3213037471255506,2.610696957064969e-06,2.157295664183759
2047,P29788,VTN_MOUSE,60,0.38218995665702,5.943302083499043e-06,1.8136195587734414
2048,P30051,TEAD1_MOUSE,8,0.383622351196515,4.011157837955332e-09,1.8068477459616856
2049,P30115,GSTA3_MOUSE,8,0.14465462958556463,2.8426138324161637e-06,4.791738657420169
2050,P30115,GSTA3_MOUSE,21,0.08914457708338146,2.696496139590221e-10,7.77553950266217
2051,P30115,GSTA3_MOUSE,60,0.11224432321163373,1.3339427903702729e-08,6.175342865696953
2052,P30275,CKMT1_MOUSE,8,0.12872021044348247,1.8176351659407077e-11,5.384913357209646
2053,P30275,CKMT1_MOUSE,21,0.08622028252061967,2.902494540665444e-10,8.039258980555745
2054,P30275,CKMT1_MOUSE,60,0.4402772956718802,2.753607441904741e-26,1.574342323290089
2055,P30285,CDK4_MOUSE,8,0.244334521276989,1.0035208353377764e-32,2.836877805630099
2056,P30285,CDK4_MOUSE,60,0.29076535462471287,3.5560080747272325e-27,2.383871288429743
2057,P30412,PPIC_MOUSE,8,0.4488746604914511,1.6905025647272568e-58,1.5441887047066816
2058,P30412,PPIC_MOUSE,21,0.2557611213946639,1.4653126164340288e-22,2.710135054070055
2059,P30412,PPIC_MOUSE,60,0.29258562375521224,4.0173459553489946e-28,2.369040459554012
2060,P30416,FKBP4_MOUSE,8,0.21422831471813278,2.0080087471098347e-23,3.235553533023596
2061,P30416,FKBP4_MOUSE,21,0.11407832047612927,3.8819265364881746e-12,6.076064037995592
2062,P30416,FKBP4_MOUSE,60,0.17112725254172134,3.0532963606317757e-12,4.050478052237494
2063,P30681,HMGB2_MOUSE,8,0.4040445083417608,4.835062324982322e-56,1.7155218453647367
2064,P30681,HMGB2_MOUSE,21,0.09415283813819168,1.3564712971581793e-13,7.361936127114798
2065,P30681,HMGB2_MOUSE,60,0.34274258580837424,1.1971114542058485e-29,2.022354995441041
2067,P30993,C5AR1_MOUSE,8,0.6338846668750558,4.062991881488953e-06,1.093491003619071
2068,P30999,CTNND1_MOUSE,8,0.19051275627191747,3.103270126576794e-58,3.6383242472783364
2069,P30999,CTNND1_MOUSE,21,0.18788505617088055,2.6258924249368588e-109,3.6892086826188626
2070,P30999,CTNND1_MOUSE,60,0.2066976534074399,1.0377797146932986e-60,3.3534351703239804
2071,P31001,DES_MOUSE,8,0.11854364069745028,1.9198953728119696e-161,5.847189916572673
2072,P31001,DES_MOUSE,21,0.09666874844036569,6.624514406427144e-82,7.170333657392319
2073,P31001,DES_MOUSE,60,0.1133770455494399,3.774171775043403e-102,6.113646525192678
2074,P31324,PRKAR2B_MOUSE,8,0.06589547328694441,6.055159586499449e-17,10.518889173792088
2075,P31324,PRKAR2B_MOUSE,60,0.13500918451968813,1.1160365356778634e-06,5.134074270768334
2076,P31428,DPEP1_MOUSE,8,0.06569682340993535,3.211280354851594e-93,10.550695521986539
2077,P31428,DPEP1_MOUSE,21,0.06675702053387941,1.9834912459416587e-34,10.383135361893073
2078,P31428,DPEP1_MOUSE,60,0.06424424178400563,3.718374852484475e-38,10.789249920488789
2079,P31532,SAA4_MOUSE,60,0.23867796228170984,5.176939131931357e-08,2.9041105175090642
2080,P31695,NOTCH4_MOUSE,8,0.8476108362620889,9.161662682736949e-11,0.8177658318016335
2081,P31695,NOTCH4_MOUSE,21,0.5520376501626936,2.9364834498814494e-07,1.255615772503315
2082,P31725,S100A9_MOUSE,8,0.7807079533332217,6.051798297041949e-62,0.8878443950782915
2083,P31725,S100A9_MOUSE,21,0.34111349038346656,4.718977284608929e-16,2.032013391732869
2084,P31725,S100A9_MOUSE,60,0.6493008232035214,2.0213936819842125e-64,1.067528571949277
2085,P31750,AKT1_MOUSE,8,0.18433626002948925,1.0281199306530543e-13,3.7602324168292167
2086,P31750,AKT1_MOUSE,60,0.23057103620691594,4.187364025229433e-15,3.006219653442987
2087,P31786,DBI_MOUSE,8,0.10837182666602059,2.1891577199849725e-71,6.396009017141333
2088,P31786,DBI_MOUSE,21,0.10222781114669403,7.469533995336981e-54,6.780416921627116
2089,P31786,DBI_MOUSE,60,0.12089554702216788,3.895706322880509e-74,5.733438473402557
2090,P31809,CEACAM1_MOUSE,8,0.11141326105490726,1.207083955511444e-11,6.221406446566041
2091,P31809,CEACAM1_MOUSE,21,0.10748193484829498,4.332204697461611e-25,6.448964484480909
2092,P31809,CEACAM1_MOUSE,60,0.16156344261426947,9.140567542560079e-12,4.290247653454778
2093,P31938,MAP2K1_MOUSE,8,0.38106336610984004,1.1439174621885592e-05,1.8189814141308673
2094,P31938,MAP2K1_MOUSE,21,0.12644565450290388,1.3936616122109226e-07,5.481779372212644
2095,P31938,MAP2K1_MOUSE,60,0.138923826714499,2.2537407746417792e-10,4.989404603606445
2096,P32020,SCP2_MOUSE,8,0.4219743141938336,8.601333829019865e-73,1.6426288455120248
2097,P32020,SCP2_MOUSE,21,0.28170410714710387,4.619791602297358e-66,2.460550495978352
2098,P32020,SCP2_MOUSE,60,0.4936836550744095,8.245517230702818e-46,1.4040310499148936
2099,P32067,SSB_MOUSE,8,0.23290977834275522,1.9874077855992453e-96,2.976032975051371
2100,P32067,SSB_MOUSE,21,0.22441720246994895,3.5287161341923173e-110,3.0886544031880203
2101,P32067,SSB_MOUSE,60,0.21061712213948372,8.82850921307279e-62,3.2910295873328868
2102,P32233,DRG1_MOUSE,8,0.30307624198782146,4.311348671305656e-20,2.287038984031609
2103,P32233,DRG1_MOUSE,21,0.19212931721769416,3.05330971256675e-17,3.607711673562903
2104,P32233,DRG1_MOUSE,60,0.21482312825949307,4.4633952598058444e-08,3.226594762751366
2105,P32261,SERPINC1_MOUSE,8,0.2735659912097339,5.850823203772511e-34,2.533747625188295
2106,P32261,SERPINC1_MOUSE,21,0.3396878651641125,1.0094262106347407e-48,2.0405414842389704
2107,P32261,SERPINC1_MOUSE,60,0.3079167773280208,3.1131021143567486e-78,2.2510861102626514
2108,P32507,NECTIN2_MOUSE,8,0.40732362245535186,1.4067984419805522e-46,1.701711225049128
2109,P32507,NECTIN2_MOUSE,21,0.20599226557860098,2.2945881746498042e-08,3.364918476977765
2110,P32507,NECTIN2_MOUSE,60,0.23482058831318386,1.6288713267713363e-12,2.9518160461955922
2111,P32883,KRAS_MOUSE,8,0.11321476609819904,1.1605260847737056e-26,6.122409686018611
2112,P32883,KRAS_MOUSE,21,0.07411732665555439,4.148292581451002e-12,9.352026197345321
2113,P32883,KRAS_MOUSE,60,0.1241276309483004,1.8088744482039614e-13,5.584148954302073
2114,P32921,WARS1_MOUSE,8,0.1250907412935473,4.806015703868898e-308,5.541154951934885
2115,P32921,WARS1_MOUSE,21,0.1029735195379724,1.932250481612084e-114,6.731314843563651
2116,P32921,WARS1_MOUSE,60,0.12427160845425943,2.878693923442168e-134,5.57767932017289
2117,P33267,CYP2F2_MOUSE,8,0.3355541258880804,1.4764934563346975e-53,2.0656792066718177
2118,P33267,CYP2F2_MOUSE,21,0.2952995614698285,1.7521422188293477e-176,2.347267896741411
2119,P33267,CYP2F2_MOUSE,60,0.29490893532874907,4.5084850712492595e-99,2.3503770063367564
2120,P33587,PROC_MOUSE,60,1.3403419795544673,6.826882411280043e-33,0.5171420362364155
2121,P33622,APOC3_MOUSE,8,1.3862403920392803,1.1094592262714504e-06,0.5000194659890594
2122,P33622,APOC3_MOUSE,60,1.095781355996067,1.7997078682314423e-15,0.6325597499602221
