Protein.Group,Genes,Kd_mean_8,Kd_mean_21,Kd_mean_60,Oxy8vs21_Log2FC,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_pval,Oxy60vs21_FDR
A2RSJ4,UHRF1BP1L_MOUSE,,0.1025912710267135,0.485855015731456,,,,2.243617878085059,1.6248444166333497e-06,6.614294888921624e-05
A2RT67,DENND3_MOUSE,0.2967369030180796,,,,,,,,
A2RTL5,RSRC2_MOUSE,0.4562797387334131,,,,,,,,
A3KGF9,CCDC9B_MOUSE,,0.8754454494098345,0.6272204471597089,,,,-0.4810446929645837,0.2260258093061236,0.4633733531304921
A3KGV1,ODF2_MOUSE,,0.0385536952264967,0.0460626386275653,,,,0.2567279124153466,0.6698471236284638,0.8443274750632184
A3KMP2,TTC38_MOUSE,0.1664751242871338,0.1432106958166865,0.1604282223905196,0.2171673716707497,0.0985895867993377,0.2257309380939477,0.1637887161775695,0.0902281262910682,0.2630019115984217
A6H584,COL6A5_MOUSE,0.1284989607670885,,0.0487858975376221,,,,,,
A6H5Z3,EXOC6B_MOUSE,0.1505163620156297,0.1487878040590723,0.1124930481125357,0.0166640494891099,0.2295482655470864,0.4097648853427587,-0.4034204274849071,0.000706022558071,0.0088403914080645
A6H619,PHRF1_MOUSE,0.2760362533021838,0.1359756580573117,0.2610889622742259,1.0215093484469986,0.0067131846321443,0.0318294201995168,0.9411930601819724,0.1968458141433975,0.4251341140358747
A6H6E2,MMRN2_MOUSE,0.1843008354938389,0.1287870872130397,0.2109563960135137,0.5170746617258994,0.0496032772527465,0.1393393430361828,0.7119568800234648,0.0093612934418785,0.0590679260705197
A6H8H2,DENND4C_MOUSE,0.281058844546722,0.2496019636630879,0.1947898886404095,0.1712429311310646,0.3032453108263638,0.4884006557252813,-0.3577104937599417,0.0445269205607009,0.167973295047381
A6X8Z5,ARHGAP31_MOUSE,0.3120467730844257,0.1494934811883274,0.2434311987685494,1.0616797170300727,0.0173109545503188,0.064837034109128,0.7034315037630389,0.1619762371925767,0.3788077988994999
A6X935,ITIH4_MOUSE,0.7920458892942753,0.4335049331958157,0.3056383950480182,0.8695356080077441,8.788380827448696e-11,7.766574127128886e-09,-0.5042226214466846,0.0555515421111932,0.1907842716262751
A8C756,THADA_MOUSE,,0.528155294590625,0.3062059942278877,,,,-0.7864596655320055,0.0015033613077382,0.0158616940600052
B1AR13,CISD3_MOUSE,0.1694062367605576,,0.4088039204590674,,,,,,
B1AUC7,ARHGAP36_MOUSE,0.3080928063697595,,0.3694571556700688,,,,,,
B1AVD1,XPNPEP2_MOUSE,0.1054526914450206,0.4272668579589297,,-2.0185414978686134,,,,,
B1AVZ0,UPRT_MOUSE,0.2764446765333418,,,,,,,,
B1AXH1,NHSL2_MOUSE,0.2370755383656539,0.3364171961493411,0.2941784948481381,-0.5049046394979289,0.2739504286976534,0.456028085518519,-0.1935596656375393,0.6736276404337183,0.8467063826631357
B1AXP6,TOMM5_MOUSE,0.2889283144853981,0.3011073113613925,0.2083160893616356,-0.0595661469027812,0.9704538628830705,0.9854307865167744,-0.5315034686960098,0.1627467716061604,0.3795066021946554
B1AY13,USP24_MOUSE,0.1747005328080708,,0.0576509123318349,,,,,,
B1AZP2,DLGAP4_MOUSE,0.3056236474660345,0.3397133465502693,0.1871534537736174,-0.1525617240274346,0.6546790911127935,0.7929132882765138,-0.8600962271606687,0.0417655439056004,0.1607179725888637
B2RPV6,MMRN1_MOUSE,0.2564032202424559,,0.2597076875673068,,,,,,
