Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_pval,Oxy60vs21_FDR
Q9CWZ3,RBM8A_MOUSE,0.26090140746625223,0.00011812303966695635,0.0013135910934531567,0.06797265903686847,0.7969215272438646,0.9205990954931248
Q9CWZ7,NAPG_MOUSE,0.6041183852602408,0.0031199960510711346,0.01786510827847189,0.519792954234368,0.008557506195976144,0.055858123607811824
Q9CX11,UTP23_MOUSE,,,,1.718715139702563,0.027561323097842694,0.12216575444746251
Q9CX34,SUGT1_MOUSE,-0.054040688923561175,0.7990118790210874,0.8788327103815581,0.27331908630217955,0.7500250474108016,0.893597628132742
Q9CX56,PSMD8_MOUSE,-0.33730043625084083,0.15360612153089537,0.3107162051435683,-0.3325668671092612,0.025419517881838764,0.11532193963158978
Q9CX80,CYGB_MOUSE,0.7631605889197887,3.2043128698838153e-06,6.962483792111786e-05,0.05327775211702896,0.6158209474190643,0.8145136904211052
Q9CX86,HNRNPA0_MOUSE,0.09787064400984997,0.49433970864180476,0.6668347114555133,-0.18852540679137686,0.03083687432636256,0.13266452083186459
Q9CX99,GRAP_MOUSE,0.35772929878722975,0.473988676609586,0.6503401138612104,0.15573567887772458,0.5355909609581925,0.7626246514882581
Q9CXE7,TMED5_MOUSE,-0.04976006680728868,0.9257515696741104,0.9602879861210106,-0.6021594625294715,,
Q9CXF4,TBC1D15_MOUSE,-0.7635796271748788,0.01400319027390728,0.054773517283687276,-0.7572832248079863,0.025325336376988146,0.11527147448535764
Q9CXI5,MANF_MOUSE,0.3287777210413917,0.005662921746786649,0.02802420249050829,0.053293012387016135,0.49047639797050113,0.7317353030454671
Q9CXK9,RBM33_MOUSE,-0.34353002579777403,0.9592543189977789,0.9795319087860213,1.1545649191341505,0.0049113142548062845,0.03765658165975271
Q9CXR1,DHRS7_MOUSE,-0.23783445744656934,0.5717977354217108,0.7258339076085126,0.6212942275338474,0.06737208675978136,0.21720693564969046
Q9CXU0,MED10_MOUSE,0.31249835372555307,0.4911069618616196,0.6636416564530371,-0.3140356636135191,0.49778441019715236,0.7378490244193626
Q9CXU9,EIF1B_MOUSE,-0.8810635945558948,0.17378087576202017,0.3395920508488316,0.29430580537591605,0.9860933901203803,1.0
Q9CXW3,CACYBP_MOUSE,0.5747461027197212,0.022551540747366896,0.07879830158904237,-0.16722236595003015,0.6353480264619119,0.8247478617000534
Q9CXW4,RPL11_MOUSE,0.26766916733718765,0.010101011248738283,0.043309425319991296,-0.13037786403424279,0.6036090032281526,0.8100724013931507
Q9CXZ1,NDUFS4_MOUSE,-0.6347827703800752,0.008504246945381638,0.03832444215885715,1.6038545262181827,0.004576572433170212,0.036008337628219415
Q9CY16,MRPS28_MOUSE,0.9947895671415629,0.04495868538829327,0.12996427027223806,0.33090567191971754,0.7811667609148072,0.9154386877727057
Q9CY50,SSR1_MOUSE,0.385975536758564,0.13472587827294394,0.2831746358831064,-0.16101802181793726,0.45139171551718726,0.6976842173555757
Q9CY57,CHTOP_MOUSE,-0.6738012870598022,0.064271711717115,0.1669639636926796,0.744216720745856,0.001056032781373019,0.011923906984064474
Q9CY58,SERBP1_MOUSE,-0.16109148451280628,0.2682524474897612,0.45045143228870105,-0.11058940727583676,0.25089616162110795,0.49593602462943814
Q9CY64,BLVRA_MOUSE,0.2989565802175052,0.020750712384504582,0.07397926715295426,0.3865813517655803,0.019122779008535287,0.09607819752551325
Q9CY66,GAR1_MOUSE,2.6307186316296134,8.995117855254425e-11,7.766574127128886e-09,1.262998259584256,0.012991227198038337,0.07599212091268877
Q9CY97,SSU72_MOUSE,,,,0.6765236469008749,0.5225406849044902,0.7558408974561437
Q9CYA0,CRELD2_MOUSE,0.533094409751564,0.0062453486754929875,0.030089558009240073,0.2283764122494887,0.6411696053890502,0.8282349350710727
Q9CYA6,ZCCHC8_MOUSE,0.19402650388881543,0.2756743818370023,0.4578540953845243,1.2681010630316332,0.0006457676470895833,0.008319808919199497
Q9CYD3,CRTAP_MOUSE,-0.31403786706636994,0.5471251257912721,0.7081331509748181,-1.725132406119973,,
Q9CYG7,TOMM34_MOUSE,0.6116685432656013,0.0001684802897977831,0.0017167199715109511,0.2297464796003054,0.08745607488777955,0.25631479871482205
Q9CYH2,PRXL2A_MOUSE,-2.791009392230938,0.018946270395037875,0.06937802808718668,-1.4309788851870322,0.03485352323276139,0.14397771214765873
Q9CYH6,RRS1_MOUSE,-1.5839404358257165,4.734259225486729e-06,9.357291878808408e-05,-0.029834117853754758,0.8877989200849564,0.9651813935247938
Q9CYI4,LUC7L_MOUSE,0.42497658027924307,0.11372028020153359,0.25058175912775804,0.24462719160168647,0.2807559787847954,0.5329951213130772
Q9CYL5,GLIPR2_MOUSE,0.6335208987657305,0.004701043851091022,0.024328272674179245,0.5502755119145114,0.033719038633984295,0.140736532197356
Q9CYN2,SPCS2_MOUSE,0.5415368635567818,0.0003818047575727601,0.003249706236021567,-0.15472141943029524,0.38575010946896404,0.6389749437584468
Q9CYR0,SSBP1_MOUSE,0.23592401449301853,0.17484201881276495,0.3412591693781569,-0.04520000757574124,0.9581792642865019,0.9942797520902898
Q9CYR6,PGM3_MOUSE,-2.5465642635422667,,,-2.521041614170225,0.003198483476065946,0.02680395788015681
Q9CYZ2,TPD52L2_MOUSE,0.34308478691372973,0.0027933480439533732,0.016278818707301985,0.22902532354390362,0.9398749007749952,0.9873255360679328
Q9CZ04,COPS7A_MOUSE,0.30746971837245857,0.3512787446632487,0.533833052913441,0.2618527289801856,0.6194709540932679,0.8163055790442848
Q9CZ13,UQCRC1_MOUSE,0.02764464849284248,0.13113073263231448,0.2786528068436683,0.3715233854777544,0.6174886764859236,0.8160486903210276
Q9CZ30,OLA1_MOUSE,-0.20878754344721093,0.2746875233137652,0.4567915681664793,0.3848989652602804,0.23107556950635366,0.4715289680858884
Q9CZ42,NAXD_MOUSE,0.23435615608868288,0.07325117261313531,0.18360358849785866,0.07350507981221531,0.6044270413278061,0.8100983835872053
Q9CZ44,NSFL1C_MOUSE,-0.057531813094125646,0.710559792580806,0.8284814070567252,0.35822092929127586,0.008971863898027392,0.05751286458934691
Q9CZ52,ANTXR1_MOUSE,2.124005316561868,0.00016031066700381664,0.0016540229510676806,1.8130793423388276,0.009223309904171454,0.058773487666581664
Q9CZB0,SDHC_MOUSE,-0.12813694039962012,0.733461120554098,0.8417229578656857,,,
Q9CZC8,SCRN1_MOUSE,0.9222725428099496,0.0007005730375990369,0.005210817875042642,-0.07349494008132765,0.856888015312889,0.949867724732925
Q9CZD3,GARS1_MOUSE,0.18483734467214696,0.1388725255813876,0.289025492900642,-0.0756385796724612,0.35542365329293346,0.6113058879191128
Q9CZG3,COMMD8_MOUSE,-0.1527138069856591,0.6322932965796653,0.7740741322773881,0.029872092314211642,0.7253435679390741,0.8824784883281438
Q9CZH7,MXRA7_MOUSE,-1.007358090340149,0.0003114849493449369,0.0027695992379423795,-1.7891769983261065,3.6959592302178357e-06,0.00012927822611783692
Q9CZJ2,HSPA12B_MOUSE,0.20436783772505873,0.06998446802510565,0.17789340933812323,0.2939341018597352,0.35727970192728087,0.6131872430943945
Q9CZL5,PCBD2_MOUSE,0.32677724328906854,0.5489111079770665,0.7093254609187694,-0.462485229127561,0.3860059946135551,0.6389749437584468
Q9CZM2,RPL15_MOUSE,0.17651458516569996,0.12429668895881645,0.2686544377298266,0.09314869125705957,0.77011180764526,0.9091105743603113
Q9CZR2,NAALAD2_MOUSE,-0.4824503871979123,0.09645871840078721,0.22321970585144882,,,
Q9CZU3,MTREX_MOUSE,0.16385491451167802,0.6685440123990718,0.8027590997877116,-0.03345018652396827,0.9132634019975991,0.9766971178558571
Q9CZU6,CS_MOUSE,0.22849095035996045,0.6492212358299599,0.7892163300326412,0.14971384709686675,0.9802580347190895,1.0
Q9CZX0,ELP3_MOUSE,0.05135990247122308,0.6973405292582116,0.8211581847916379,0.44390179969486976,0.5616346071126777,0.7823983401249336
Q9CZX8,RPS19_MOUSE,0.09488542119574357,0.26493225196522485,0.447371445547042,0.5431021387206378,0.001519343218617879,0.015919953750279388
Q9CZX9,EMC4_MOUSE,2.0141964061132587,3.3587492442975683e-12,3.6733520901801074e-10,,,
Q9CZY3,UBE2V1_MOUSE,0.04956708317530692,,,-0.11124817345772157,,
Q9D020,NT5C3A_MOUSE,-0.15008173611927567,0.4687360476429403,0.6451019179179895,0.41012612922455416,0.2678118320367213,0.51667774310202
Q9D023,MPC2_MOUSE,0.0885080343054528,0.6981295681969357,0.8212847304604325,-0.700248842185405,0.007171884804309532,0.049419968523057974
Q9D024,CCDC47_MOUSE,1.5252557106149105,4.748568405915738e-10,3.0549123411391244e-08,0.8339713378688236,0.00045715460420180684,0.006424120158608797
Q9D051,PDHB_MOUSE,0.3922399100791759,0.002081377513646509,0.012764485275278872,-0.15744315573921122,0.7084380937280126,0.8714179462728476
Q9D067,MDM1_MOUSE,-1.981024643580716,0.07299526371701981,0.18310747909093503,-1.5551672451512366,0.02023336482818659,0.09955805507202514
Q9D0A3,ARPIN_MOUSE,-0.24658452399114497,0.19711035266452515,0.37122473548038604,0.27724706698089496,0.6373072156322859,0.8259583648428095
Q9D0B0,SRSF9_MOUSE,0.600142002791479,9.023381495696529e-05,0.0010687983641653543,-0.33209423309045594,0.3023456169656311,0.5537553758653392
Q9D0B6,PBDC1_MOUSE,0.23048132058700377,0.5032715981325384,0.6726004535530992,-0.050330065448648466,0.91823138030033,0.9798195048369251
Q9D0D5,GTF2E1_MOUSE,0.5919194275628132,0.5170470405942253,0.6840448952377635,,,
Q9D0E1,HNRNPM_MOUSE,0.07343139129250216,0.3591911090360117,0.5396089875215908,0.0646159502017507,0.5985952676220081,0.8046280581485473
Q9D0F3,LMAN1_MOUSE,0.3201692420449107,0.45346395451602994,0.6296298073495955,,,
Q9D0F9,PGM1_MOUSE,0.17808508223565592,0.8154855387505708,0.8897955672736882,0.30342060127589005,0.09790895198995236,0.2783312787134865
Q9D0I4,STX17_MOUSE,,,,0.722009731042342,0.2894316739197529,0.5408775416223953
Q9D0I6,WDSUB1_MOUSE,0.5629953704210999,0.4543141028788853,0.6302767744378953,-0.026341222013617376,0.952507672728902,0.9927851492592115
Q9D0I9,RARS1_MOUSE,-0.11143504329686403,0.3678036281382481,0.5495280983249509,0.012522999697540609,0.7888429056922415,0.9187254736856528
Q9D0J8,PTMS_MOUSE,-1.059837945332071,0.2316512575821712,0.413069443547339,,,
Q9D0K2,OXCT1_MOUSE,-0.19148778751020448,0.09400279508212964,0.21862308851795972,-0.10956124095823802,0.21452968957778495,0.44741188662431103
Q9D0L7,ARMC10_MOUSE,1.1120635788581168,0.022304234669847538,0.07810052716304137,0.17964123987247843,0.9477153554280464,0.990797249552506
Q9D0M1,PRPSAP1_MOUSE,-0.5286238304820587,0.005364015711788588,0.026992845936163124,0.028836278195888028,0.87629833232777,0.9585071493646377
Q9D0M3,CYC1_MOUSE,0.29381713368664136,0.010845615975587768,0.04573838819524867,0.12858462632113016,0.30786496474499114,0.5608231257098094
Q9D0R2,TARS1_MOUSE,0.45682699456306564,0.018312855453450308,0.06758659026183403,0.31955672286496073,0.10320363001569909,0.2870434584187724
Q9D0R8,LSM12_MOUSE,1.2850646000847346,0.0018460377603468881,0.011536856936567886,0.04011861688917123,0.9121594865148985,0.9761653567026749
Q9D0S9,HINT2_MOUSE,0.3831514695070923,0.009326542228840514,0.04080051340376764,-0.23725432627546109,0.20411287861660476,0.4355671375253542
Q9D0T1,SNU13_MOUSE,0.9772208782223277,0.00012493658575944756,0.0013594322765759475,0.48942504219790145,0.029758790413848085,0.12836968840718918
Q9D0W5,PPIL1_MOUSE,0.44481455742316656,0.1838715044810606,0.35383132328584155,0.8142889420957486,0.0030345649986249605,0.02593617446600986
Q9D154,SERPINB1A_MOUSE,0.04904913672856302,0.6874589269742704,0.8145730369817917,0.28982309577947357,0.2060294938895294,0.4382041714054895
Q9D172,GATD3A_MOUSE,0.17581421232516922,0.12592471273228206,0.2709239229341754,0.3019670452350781,0.05810279405183039,0.196148122649317
Q9D1A2,CNDP2_MOUSE,0.45879638023589775,1.0895674545566879e-06,2.7928678268753853e-05,0.2676575846539773,0.022496768424865428,0.1059950231203762
Q9D1C8,VPS28_MOUSE,0.44195630333740765,0.2788403864064244,0.46172479942466566,0.36517025006685677,0.38506262863182716,0.6387517131438579
Q9D1D4,TMED10_MOUSE,-0.31975097067261093,0.06421726465835673,0.16695471104918258,-0.22591720214107205,0.12200490026347297,0.317099579580207
Q9D1F4,AKT1S1_MOUSE,0.6053144332962009,0.00899136956784613,0.03981198859932949,0.3211122213043061,0.479857414015619,0.7232542963923086
Q9D1G1,RAB1B_MOUSE,0.09568464378760587,0.03696409357182664,0.11463061532057013,-0.25958492545684747,0.09211127608905108,0.26631993392144326
Q9D1H6,NDUFAF4_MOUSE,-0.24262709548979958,0.6993377494934464,0.8217269430686475,,,
Q9D1H8,MRPL53_MOUSE,-0.18373851121933632,0.9944672289836517,0.9993405752818871,-1.0793588796409161,0.15202711461986168,0.3649577923181127
Q9D1I6,MRPL14_MOUSE,0.46772852123197367,0.0922246015929355,0.21521260158351446,-0.1705366941836011,0.48497757173467637,0.7263838493935177
Q9D1J1,NECAP2_MOUSE,0.4992841244487689,0.0005160243317828158,0.004166862636527135,0.2499763956612263,0.193534459772845,0.42144762765534627
Q9D1J3,SARNP_MOUSE,0.827958041142013,0.0008500094085601035,0.00608925954036179,1.079421911078215,0.0018278079257667199,0.017910579286522777
Q9D1K2,ATP6V1F_MOUSE,0.25616511221735616,0.3966265812251816,0.5780340609518941,0.025493303269531482,0.7970014856931111,0.9205990954931248
Q9D1L0,CHCHD2_MOUSE,,,,0.0292932848673625,0.9244439773297477,0.9820184574618095
Q9D1M0,SEC13_MOUSE,0.0054218614481171806,0.990350321246449,0.9970357177077628,1.3325437450832995,1.2874052685768782e-05,0.00036024957863307774
Q9D1M4,EEF1E1_MOUSE,-1.0948283405232948,0.005315133758278364,0.026787947559003555,-0.751389997921127,0.1060849526166623,0.2908383063222734
Q9D1P4,CHORDC1_MOUSE,-0.07049049710985122,0.7901172897478869,0.8725596861874173,0.17296258467292258,0.5243109215848054,0.7566810537746682
Q9D1Q6,ERP44_MOUSE,0.2456111058598833,0.04637451632362093,0.13277032116736498,0.0466760952785658,0.6983176857029303,0.8653008519799883
